6,5000,-1103.8348846752224,-1103.8212830926464,-1103.8170797690523
5,5000,192.9889148116908,194.31833605118288,193.0552725504902
4,5000,302.9889148116908,304.3183360511829,303.0552725504902
3,5000,412.9889148116908,414.3183360511829,413.0552725504902
6,500,-1908.0635942214528,-1908.0425327789085,-1908.019666657045
5,500,-1528.0635942214528,-1528.0425327789085,-1528.0196666570453
4,500,-1148.0635942214528,-1148.0425327789085,-1148.0196666570453
3,500,-768.0635942214528,-768.0425327789085,-768.0196666570453
6,2000,-1536.1277100445102,-1536.1114374955248,-1536.1004593524374
5,2000,-82.35292223313166,-81.45321353090964,-82.27990883007385
4,2000,27.647077766868335,28.546786469090392,27.72009116992615
3,2000,137.64707776686834,138.5467864690904,137.72009116992615
