X
3,4,5,6,7,8,9
Y
3,4,5,6,7,8,9
Z
30.225892789519566,29.14076145513906,28.92868780862658,30.40559506274999,29.14076145513906,30.225892789519566,30.365851652879478
24.49199907300155,24.591279470425917,24.591279470425917,24.591279470425917,24.591279470425917,24.591279470425917,24.49199907300155
21.9275433482232,22.913066525941126,22.452471231658393,22.56748499340172,23.028080287684453,22.56748499340172,22.56748499340172
16.7967958150906,18.046278203370793,20.776462112318608,21.604730033097148,21.65297872169346,21.65297872169346,21.65297872169346
17.62720290254987,18.021211705834585,18.48441640565371,20.08618651337121,21.435043976096036,21.604226451356013,22.324695241784877
23.5536407267597,22.527535425926732,18.30200746492588,18.648671685313282,18.706476268595537,19.97574461716738,22.37998556157917
26.77056742810329,23.86997904672884,20.48571996879135,20.38380281097836,21.141722632890733,21.191972279680556,27.97056742810329
